transaction_id,transaction_timestamp,store_id,product_id,quantity,unit_price,discount,total_amount,currency
TXN4001,2025-01-04 09:01:00,S001,P1004,5,1299.0,100,0,INR
TXN4002,2025-01-04 09:02:00,S002,P1002,4,799.5,200,0,INR
TXN4003,2025-01-04 09:03:00,S003,P1002,1,499.99,100,0,INR
TXN4004,2025-01-04 09:04:00,S004,P1003,2,1299.0,50,0,INR
TXN4005,2025-01-04 09:05:00,S001,P1003,3,799.5,0,0,INR
TXN4006,2025-01-04 09:06:00,S004,P1005,5,499.99,0,0,INR
TXN4007,2025-01-04 09:07:00,S001,P1005,3,299.99,50,0,INR
TXN4008,2025-01-04 09:08:00,S003,P1004,4,1299.0,100,0,INR
TXN4009,2025-01-04 09:09:00,S002,P1004,3,299.99,100,0,INR
TXN4010,2025-01-04 09:10:00,S001,P1005,4,799.5,50,0,INR
TXN4011,2025-01-04 09:11:00,S003,P1003,5,1299.0,50,0,INR
TXN4012,2025-01-04 09:12:00,S004,P1004,1,499.99,200,0,INR
TXN4013,2025-01-04 09:13:00,S004,P1001,1,1299.0,200,0,INR
TXN4014,2025-01-04 09:14:00,S004,P1004,3,299.99,50,0,INR
TXN4015,2025-01-04 09:15:00,S002,P1004,1,799.5,200,0,INR
TXN4016,2025-01-04 09:16:00,S002,P1002,1,799.5,100,0,INR
TXN4017,2025-01-04 09:17:00,S001,P1003,3,799.5,0,0,INR
TXN4018,2025-01-04 09:18:00,S004,P1004,4,1299.0,50,0,INR
TXN4019,2025-01-04 09:19:00,S003,P1004,4,799.5,50,0,INR
TXN4020,2025-01-04 09:20:00,S002,P1004,3,299.99,50,0,INR
TXN4021,2025-01-04 09:21:00,S004,P1004,5,799.5,100,0,INR
TXN4022,2025-01-04 09:22:00,S004,P1004,3,1299.0,0,0,INR
TXN4023,2025-01-04 09:23:00,S004,P1004,3,1299.0,50,0,INR
TXN4024,2025-01-04 09:24:00,S003,P1001,4,1299.0,200,0,INR
TXN4025,2025-01-04 09:25:00,S003,P1005,2,1599.0,50,0,INR
TXN4026,2025-01-04 09:26:00,S002,P1003,2,499.99,200,0,INR
TXN4027,2025-01-04 09:27:00,S003,P1002,4,1299.0,200,0,INR
TXN4028,2025-01-04 09:28:00,S004,P1005,2,299.99,100,0,INR
TXN4029,2025-01-04 09:29:00,S004,P1001,1,1299.0,100,0,INR
TXN4030,2025-01-04 09:30:00,S002,P1004,5,499.99,50,0,INR
TXN4031,2025-01-04 09:31:00,S004,P1003,2,299.99,100,0,INR
TXN4032,2025-01-04 09:32:00,S002,P1002,4,299.99,0,0,INR
TXN4033,2025-01-04 09:33:00,S001,P1003,1,499.99,100,0,INR
TXN4034,2025-01-04 09:34:00,S002,P1002,3,299.99,0,0,INR
TXN4035,2025-01-04 09:35:00,S002,P1005,4,1299.0,100,0,INR
TXN4036,2025-01-04 09:36:00,S002,P1003,3,1599.0,200,0,INR
TXN4037,2025-01-04 09:37:00,S002,P1005,1,799.5,100,0,INR
TXN4038,2025-01-04 09:38:00,S003,P1005,4,799.5,50,0,INR
TXN4039,2025-01-04 09:39:00,S004,P1002,3,1299.0,200,0,INR
TXN4040,2025-01-04 09:40:00,S001,P1002,5,799.5,50,0,INR
TXN4041,2025-01-04 09:41:00,S001,P1005,4,1299.0,200,0,INR
TXN4042,2025-01-04 09:42:00,S004,P1003,2,1299.0,50,0,INR
TXN4043,2025-01-04 09:43:00,S003,P1004,1,799.5,0,0,INR
TXN4044,2025-01-04 09:44:00,S003,P1003,1,1299.0,100,0,INR
TXN4045,2025-01-04 09:45:00,S002,P1005,5,1599.0,100,0,INR
TXN4046,2025-01-04 09:46:00,S003,P1003,1,799.5,200,0,INR
TXN4047,2025-01-04 09:47:00,S001,P1004,3,799.5,100,0,INR
TXN4048,2025-01-04 09:48:00,S004,P1004,3,799.5,200,0,INR
TXN4049,2025-01-04 09:49:00,S001,P1001,1,1299.0,50,0,INR
TXN4050,2025-01-04 09:50:00,S003,P1004,2,1299.0,0,0,INR
TXN4051,2025-01-04 09:51:00,S001,P1005,5,799.5,200,0,INR
TXN4052,2025-01-04 09:52:00,S002,P1002,1,1599.0,50,0,INR
TXN4053,2025-01-04 09:53:00,S002,P1004,3,1299.0,200,0,INR
TXN4054,2025-01-04 09:54:00,S002,P1002,3,1299.0,100,0,INR
TXN4055,2025-01-04 09:55:00,S004,P1004,1,1299.0,200,0,INR
TXN4056,2025-01-04 09:56:00,S003,P1002,1,299.99,50,0,INR
TXN4057,2025-01-04 09:57:00,S002,P1005,5,499.99,50,0,INR
TXN4058,2025-01-04 09:58:00,S002,P1004,2,799.5,0,0,INR
TXN4059,2025-01-04 09:59:00,S001,P1003,1,1299.0,0,0,INR
TXN4060,2025-01-04 10:00:00,S004,P1001,2,1299.0,50,0,INR
TXN4061,2025-01-04 10:01:00,S001,P1003,5,1599.0,50,0,INR
TXN4062,2025-01-04 10:02:00,S004,P1005,5,1299.0,200,0,INR
TXN4063,2025-01-04 10:03:00,S004,P1002,2,1599.0,50,0,INR
TXN4064,2025-01-04 10:04:00,S002,P1004,5,499.99,200,0,INR
TXN4065,2025-01-04 10:05:00,S003,P1003,1,1599.0,100,0,INR
TXN4066,2025-01-04 10:06:00,S003,P1001,4,1299.0,0,0,INR
TXN4067,2025-01-04 10:07:00,S002,P1002,3,1599.0,100,0,INR
TXN4068,2025-01-04 10:08:00,S004,P1001,4,1299.0,100,0,INR
TXN4069,2025-01-04 10:09:00,S004,P1003,4,1599.0,200,0,INR
TXN4070,2025-01-04 10:10:00,S001,P1005,5,1299.0,100,0,INR
TXN4071,2025-01-04 10:11:00,S004,P1001,3,1299.0,200,0,INR
TXN4072,2025-01-04 10:12:00,S004,P1005,1,499.99,50,0,INR
TXN4073,2025-01-04 10:13:00,S002,P1002,3,299.99,200,0,INR
TXN4074,2025-01-04 10:14:00,S002,P1005,1,299.99,50,0,INR
TXN4075,2025-01-04 10:15:00,S003,P1002,2,499.99,200,0,INR
TXN4076,2025-01-04 10:16:00,S002,P1001,4,299.99,200,0,INR
TXN4077,2025-01-04 10:17:00,S004,P1005,2,499.99,50,0,INR
TXN4078,2025-01-04 10:18:00,S002,P1003,1,1599.0,200,0,INR
TXN4079,2025-01-04 10:19:00,S003,P1001,5,1299.0,200,0,INR
TXN4080,2025-01-04 10:20:00,S001,P1001,5,799.5,200,0,INR
TXN4081,2025-01-04 10:21:00,S004,P1005,1,799.5,100,0,INR
